,open,high,low,close,volume,symbol
2025-12-19,226.76,229.125,225.58,227.35,85544374.0,AMZN
2025-12-22,228.61,229.48,226.71,228.43,32261329.0,AMZN
2025-12-23,229.055,232.445,228.73,232.14,29230233.0,AMZN
2025-12-24,232.13,232.95,231.33,232.38,11420543.0,AMZN
2025-12-26,232.035,232.99,231.18,232.52,15994726.0,AMZN
2025-12-29,231.94,232.6,230.77,232.07,19797909.0,AMZN
2025-12-30,231.205,232.77,230.2,232.53,21910453.0,AMZN
2025-12-31,232.905,232.99,230.12,230.82,24383749.0,AMZN
2026-01-02,231.34,235.458,224.7,226.5,51456229.0,AMZN
2026-01-05,228.84,234.0,227.18,233.06,49733348.0,AMZN
2026-01-06,232.1,243.18,232.07,240.93,53764677.0,AMZN
2026-01-07,239.61,245.29,239.52,241.56,42236531.0,AMZN
2026-01-08,243.06,246.41,241.88,246.29,39509844.0,AMZN
2026-01-09,244.568,247.86,242.24,247.38,34559961.0,AMZN
2026-01-12,246.73,248.94,245.96,246.47,35867770.0,AMZN
2026-01-13,246.53,247.66,240.25,242.6,38371778.0,AMZN
2026-01-14,241.15,241.28,236.22,236.65,41410578.0,AMZN
2026-01-15,239.31,240.65,236.63,238.18,43003571.0,AMZN
2026-01-16,239.085,239.57,236.41,239.12,45888283.0,AMZN
2026-01-20,233.76,235.09,229.34,231.0,46959464.0,AMZN
2026-01-21,231.085,232.3,226.88,231.31,47276090.0,AMZN
2026-01-22,234.05,235.72,230.9,234.34,31913325.0,AMZN
2026-01-23,234.955,240.45,234.57,239.16,33778478.0,AMZN
2026-01-26,239.98,240.95,237.54,238.42,32825530.0,AMZN
2026-01-27,239.685,244.88,238.08,244.68,37815946.0,AMZN
2026-01-28,246.365,247.775,241.53,243.01,40882657.0,AMZN
2026-01-29,242.82,243.0,236.742,241.73,47229643.0,AMZN
2026-01-30,239.89,243.315,237.64,239.3,46585024.0,AMZN
2026-02-02,238.31,245.6299,238.17,242.96,37546102.0,AMZN
2026-02-03,244.975,246.35,235.45,238.62,50478573.0,AMZN
2026-02-04,238.86,238.86,231.82,232.99,51299947.0,AMZN
2026-02-05,224.91,226.31,220.38,222.69,103509230.0,AMZN
2026-02-06,202.7,211.44,200.31,210.32,179210851.0,AMZN
2026-02-09,208.97,212.81,203.35,208.72,91178443.0,AMZN
2026-02-10,208.795,212.6499,206.411,206.96,67175031.0,AMZN
2026-02-11,208.06,208.57,202.49,204.08,65545455.0,AMZN
2026-02-12,203.96,203.96,197.56,199.6,83975393.0,AMZN
2026-02-13,198.88,201.16,197.275,198.79,66321593.0,AMZN
2026-02-17,198.125,201.7362,196.0,201.15,69879200.0,AMZN
2026-02-18,202.07,206.86,201.51,204.79,51003299.0,AMZN
2026-02-19,203.8,205.6396,202.81,204.86,35669611.0,AMZN
2026-02-20,204.76,211.17,203.75,210.11,65881611.0,AMZN
2026-02-23,208.095,208.43,203.11,205.27,53581508.0,AMZN
2026-02-24,205.47,210.36,203.25,208.56,41137162.0,AMZN
2026-02-25,210.46,211.59,208.93,210.64,41346376.0,AMZN
2026-02-26,210.73,211.05,205.345,207.92,47756765.0,AMZN
2026-02-27,206.83,210.33,205.2,210.0,57422777.0,AMZN
2026-03-02,204.55,209.73,203.46,208.39,46001010.0,AMZN
2026-03-03,203.1,209.178,202.48,208.73,43184918.0,AMZN
2026-03-04,210.47,217.54,210.15,216.82,54731101.0,AMZN
2026-03-05,215.98,220.47,215.59,218.94,60943447.0,AMZN
2026-03-06,214.99,217.32,212.53,213.21,51152716.0,AMZN
2026-03-09,210.45,213.82,207.11,213.49,54642926.0,AMZN
2026-03-10,214.19,215.65,212.43,214.33,35678834.0,AMZN
2026-03-11,215.705,217.0,211.35,212.65,34199303.0,AMZN
2026-03-12,210.39,211.71,208.15,209.53,44349501.0,AMZN
2026-03-13,209.605,210.56,206.22,207.67,35662137.0,AMZN
2026-03-16,208.35,212.724,207.445,211.74,42209316.0,AMZN
2026-03-17,212.82,215.7,212.43,215.2,44969943.0,AMZN
2026-03-18,213.925,215.1401,208.825,209.87,37846642.0,AMZN
2026-03-19,207.06,209.12,206.05,208.76,36440622.0,AMZN
2026-03-20,207.4,207.54,204.316,205.37,63694603.0,AMZN
2026-03-23,209.79,212.8,209.51,210.14,44277356.0,AMZN
2026-03-24,207.95,209.35,206.64,207.24,35351425.0,AMZN
2026-03-25,211.56,213.07,209.9,211.71,36388791.0,AMZN
2026-03-26,210.61,212.885,207.12,207.54,46745978.0,AMZN
2026-03-27,206.455,206.6,199.14,199.34,56009763.0,AMZN
2026-03-30,201.48,203.8,199.9802,200.95,46373797.0,AMZN
